"","stimulus_num","mean_score","sti_gender","sti_weight","sti_race"
"1","1",66.6296296296296,"male",-2,"White"
"2","2",58.9481481481481,"male",-2,"Black"
"3","3",67.6666666666667,"female",-2,"Black"
"4","4",68.9037037037037,"male",-2,"White"
"5","5",68.2074074074074,"female",-2,"White"
"6","6",78.9259259259259,"male",-2,"Black"
"7","7",72.9185185185185,"female",-2,"Asian"
"8","8",62.2222222222222,"female",-2,"Asian"
"9","9",63.7481481481481,"female",-2,"Black"
"10","10",74.8666666666667,"male",-2,"White"
"11","11",60.5777777777778,"female",-2,"White"
"12","12",69.5111111111111,"male",-2,"Asian"
"13","13",60.7185185185185,"female",-2,"Asian"
"14","14",64.7555555555556,"male",-2,"Black"
"15","15",54.3111111111111,"male",2,"White"
"16","16",60.3333333333333,"male",2,"Asian"
"17","17",64.962962962963,"female",2,"Black"
"18","18",58.0444444444444,"female",2,"White"
"19","19",60.9259259259259,"female",2,"Asian"
"20","20",57.9333333333333,"male",2,"White"
"21","21",62.9185185185185,"female",2,"Asian"
"22","22",60.7703703703704,"male",2,"White"
"23","23",67.8222222222222,"male",2,"Asian"
"24","24",53.1851851851852,"female",2,"Black"
"25","25",57.1777777777778,"female",2,"White"
"26","26",60.7777777777778,"female",2,"Black"
"27","27",58.5037037037037,"male",2,"Asian"
"28","28",59.8296296296296,"male",2,"Asian"
"29","29",61.5851851851852,"male",0,"Black"
"30","30",64.5777777777778,"male",0,"Asian"
"31","31",56.3185185185185,"female",0,"White"
"32","32",70.7259259259259,"male",0,"Asian"
"33","33",65.7037037037037,"female",0,"Black"
"34","34",56.8740740740741,"female",0,"White"
"35","35",71.3555555555556,"female",0,"Black"
"36","36",54.7481481481481,"male",0,"Black"
"37","37",57.1111111111111,"male",0,"White"
"38","38",64.5259259259259,"female",0,"Asian"
"39","39",72.4666666666667,"male",0,"Black"
"40","40",59.1851851851852,"female",0,"White"
"41","41",54.2962962962963,"male",0,"Black"
"42","42",60.6444444444444,"female",0,"Asian"
"43","43",69.9555555555555,"female",0,"Asian"
"44","44",65.1259259259259,"male",0,"Black"
"45","45",69.3259259259259,"male",0,"White"
"46","46",64.0888888888889,"female",0,"Black"
"47","47",67.7037037037037,"female",0,"Black"
"48","48",61.0296296296296,"female",0,"Asian"
"49","49",56.1185185185185,"female",0,"Black"
"50","50",64.362962962963,"male",0,"White"
"51","51",59.5259259259259,"male",0,"Asian"
"52","52",65.6222222222222,"male",0,"White"
"53","53",60.8962962962963,"female",0,"White"
"54","54",70.6074074074074,"male",0,"Asian"
"55","55",62.6444444444444,"female",0,"Black"
"56","56",64.9555555555555,"male",0,"Asian"
"57","57",58.8962962962963,"female",-2,"Asian"
"58","58",57.6888888888889,"male",-2,"White"
"59","59",62.4296296296296,"male",-2,"Black"
"60","60",68.9851851851852,"male",-2,"Asian"
"61","61",60.2592592592593,"female",-2,"White"
"62","62",69.5777777777778,"female",-2,"Black"
"63","63",60.8148148148148,"male",-2,"Asian"
"64","64",63.5333333333333,"female",-2,"Black"
"65","65",69.7555555555556,"male",-2,"Black"
"66","66",57.4666666666667,"female",-2,"Asian"
"67","67",55.9333333333333,"male",-2,"Black"
"68","68",63.7185185185185,"male",-2,"Asian"
"69","69",62.6148148148148,"female",-2,"White"
"70","70",67.1259259259259,"female",-2,"Black"
"71","71",50.4,"female",2,"Asian"
"72","72",48.8888888888889,"male",2,"Black"
"73","73",50.9777777777778,"male",2,"White"
