"","PROLIFIC_PID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150"
"21","62348c41368404b2ade8312b",79,79,81,86,81,86,80,80,74,86,68,75,76,74,61,75,79,78,66,80,59,86,79,74,67,82,73,77,79,73,70,84,84,75,88,79,67,74,76,71,83,81,71,87,84,84,74,69,77,79,68,84,69,78,83,76,64,66,64,66,71,78,66,82,76,66,82,65,70,82,70,70,69,81,69,77,84,62,71,74,71,74,75,70,86,73,79,84,68,84,66,61,75,87,63,84,71,65,63,75,71,86,75,64,84,74,79,79,66,88,70,77,68,74,68,89,69,86,74,80,74,80,68,80,67,76,63,69,86,77,87,73,80,81,77,90,72,72,66,90,82,79,64,75,60,74,70,89,86,62
"22","5c9b11249cd82b00174fd7ad",60,35,34,64,50,51,70,76,4,65,66,60,51,9,40,64,7,50,83,50,70,66,79,0,36,6,51,79,8,68,42,60,6,53,7,3,55,75,23,40,2,80,47,8,59,18,44,59,1,51,43,48,49,90,10,71,71,43,38,72,50,20,75,47,13,71,4,76,55,17,31,2,43,4,60,43,46,44,8,42,48,0,7,32,6,29,29,7,29,23,34,33,1,6,6,0,55,72,74,71,17,2,36,70,51,60,81,47,36,29,60,50,66,17,46,12,74,82,59,2,74,65,51,80,64,85,71,62,14,49,15,32,4,25,4,49,8,33,64,10,49,72,52,38,72,14,68,51,0,77
"23","600735ac42969f1dbea8a16f",51,31,50,79,73,64,83,72,65,87,36,88,51,23,86,28,70,55,42,61,28,70,75,33,66,66,76,65,52,32,38,75,50,53,57,29,44,51,66,53,22,42,69,35,44,48,50,30,71,84,78,77,37,63,35,49,38,82,66,77,84,59,52,59,51,39,25,69,45,41,65,27,40,65,24,75,61,28,56,72,87,55,45,84,36,63,59,37,33,28,58,38,78,37,51,32,62,57,36,40,42,52,32,45,72,31,66,39,26,71,26,77,34,43,75,32,35,79,37,38,63,82,71,33,59,71,61,43,58,75,45,52,42,78,48,78,39,64,64,69,74,82,66,68,56,64,69,61,50,56
"24","6579cbad2b12085e66f84513",70,25,58,50,68,74,66,62,23,67,63,60,60,45,40,25,32,50,35,66,28,75,75,26,32,30,45,50,55,71,15,45,56,62,42,33,40,46,66,64,36,35,65,62,66,34,66,29,37,75,67,71,60,73,29,66,49,36,72,53,62,67,29,44,61,42,70,65,60,33,37,36,63,34,41,62,65,34,36,52,69,39,63,63,58,71,60,42,48,70,51,58,67,39,28,44,70,36,39,63,33,38,44,31,75,51,67,60,59,63,37,64,31,30,59,39,62,73,54,36,68,45,52,72,27,70,43,53,51,71,59,44,57,55,31,74,40,40,53,22,65,69,48,70,39,56,71,61,38,39
"25","5757a0d300ca3200072678fa",63,59,74,78,69,85,75,84,32,84,82,79,70,21,38,31,76,70,76,60,34,26,64,25,19,12,30,26,37,55,32,65,48,75,82,37,57,26,74,25,55,81,86,19,72,25,73,34,24,36,22,60,57,37,38,51,82,42,56,73,86,83,65,56,72,81,33,45,76,82,17,25,54,5,23,23,61,21,21,38,39,26,85,38,23,40,64,78,57,68,60,68,54,34,21,33,32,33,77,81,43,80,34,72,73,32,44,75,77,44,44,70,52,40,21,60,82,69,65,39,39,29,51,49,24,29,77,31,61,41,24,35,71,48,25,70,21,58,79,28,36,33,84,29,81,79,72,73,27,79
"26","55c7b92efdf99b5f0ead5d4d",73,77,85,71,74,87,74,89,76,72,73,75,72,75,69,62,71,66,74,71,59,85,77,60,67,71,84,73,66,83,68,76,76,75,85,64,72,85,77,50,71,66,65,72,82,83,87,68,62,80,76,65,57,87,63,61,73,70,64,76,87,89,63,63,83,71,61,80,65,87,57,60,39,67,63,67,73,56,65,50,93,72,97,62,57,66,74,71,79,66,62,68,64,72,53,64,76,53,55,65,56,89,64,64,63,70,72,78,53,92,63,61,70,47,67,69,60,70,68,64,70,55,44,71,56,74,67,68,69,65,62,57,72,74,51,67,52,68,59,84,54,87,57,74,62,100,90,82,45,58
"27","5de6eca0a91be366cbb5ffe2",95,72,95,93,97,96,85,63,96,97,87,92,63,75,81,77,73,88,64,83,72,84,82,80,76,95,70,58,70,76,83,80,90,70,96,70,72,96,96,84,70,73,92,82,94,95,97,90,82,88,66,86,77,85,85,78,64,90,87,96,84,95,62,93,98,47,54,71,86,98,58,60,67,69,76,91,98,54,84,72,98,93,90,86,73,78,79,90,79,93,87,78,94,94,81,50,71,60,53,90,79,87,91,64,98,82,96,96,81,98,58,93,93,75,53,96,82,96,95,63,71,89,69,80,90,71,67,81,84,75,68,66,97,80,64,96,62,87,89,92,93,76,83,87,55,98,93,97,66,66
"28","599eaf0fbfd73c00010ea24e",56,73,60,61,67,58,64,68,75,46,51,74,46,58,38,79,60,41,70,36,39,61,55,59,29,70,62,53,60,51,38,47,50,40,82,48,44,51,64,64,58,48,63,53,57,69,76,50,72,59,74,45,60,76,76,64,57,58,71,63,39,68,62,50,69,60,60,53,57,69,50,41,51,56,63,59,44,49,58,42,78,58,72,53,69,60,54,66,51,62,39,59,63,69,35,58,46,51,56,36,56,67,35,57,41,60,44,48,51,77,50,69,53,62,71,76,28,40,56,60,68,60,60,64,48,58,58,52,67,58,68,48,65,49,61,47,53,49,26,76,40,57,41,27,48,56,60,54,68,52
"29","5d2a49241d8d930001c263a7",71,64,34,71,70,82,52,26,35,61,28,62,65,63,59,50,37,47,40,51,50,28,86,45,47,40,36,49,61,43,39,72,66,31,71,61,32,47,81,50,56,48,41,72,76,41,33,45,35,51,36,67,41,82,31,61,38,50,61,74,23,44,51,69,71,49,60,66,41,61,41,51,62,39,49,37,76,48,39,63,77,45,56,67,72,67,79,29,45,60,49,37,69,33,42,60,76,48,35,22,50,55,58,37,75,52,68,29,35,81,45,74,43,64,43,50,23,76,58,48,80,61,65,60,38,44,37,57,58,69,86,44,72,79,62,67,58,44,35,35,61,49,15,52,48,51,76,49,32,39
"30","61083eff2ec30097bf53dc1d",87,65,87,47,67,93,59,28,26,81,60,85,28,82,18,39,72,39,27,47,38,33,31,31,22,75,12,27,64,64,25,70,82,21,80,38,61,64,72,48,22,66,54,63,76,25,83,37,31,24,18,64,21,27,72,39,27,27,37,70,68,81,52,61,85,35,24,60,63,78,31,23,64,17,38,61,82,27,23,32,79,69,70,72,74,33,63,75,40,71,32,19,66,33,31,23,25,24,31,76,16,80,19,21,79,41,67,65,31,85,19,73,28,23,17,73,76,78,76,25,59,59,68,28,24,23,26,73,80,22,74,41,74,29,18,81,24,26,24,25,44,19,28,26,22,78,68,73,30,33
"31","5f60fa0a0543ce036fa68ba0",65,50,65,65,55,85,70,50,55,65,50,60,60,60,60,55,65,60,65,65,55,65,60,55,50,60,60,50,55,65,55,60,70,55,65,55,70,65,65,75,55,50,60,60,70,65,70,55,60,65,55,60,65,65,60,55,50,65,60,60,55,65,55,55,60,55,60,65,50,65,55,55,55,65,60,60,65,55,65,60,65,60,60,55,65,60,60,65,60,63,55,70,50,65,60,65,60,50,50,60,65,60,60,60,75,60,60,70,70,75,50,70,55,60,60,60,60,75,65,65,55,60,60,65,60,65,50,60,55,65,55,55,60,60,60,65,60,55,55,60,65,65,55,60,50,65,60,65,55,50
"32","5ec5a705a9b68d5f1f482ce5",70,59,65,72,76,76,75,71,58,76,62,71,41,73,38,61,62,44,63,54,71,50,61,55,54,62,51,47,54,58,59,62,55,38,77,55,51,57,69,45,61,48,62,69,69,53,76,27,56,71,49,80,28,72,62,47,61,50,64,54,52,81,56,51,83,63,53,35,58,53,38,40,20,53,40,36,80,34,34,57,74,43,79,46,75,38,21,32,30,57,29,26,57,53,37,53,35,25,66,46,69,52,45,37,59,42,77,71,34,76,42,57,56,61,52,65,51,90,69,65,66,71,73,48,46,62,62,70,47,68,67,37,31,36,43,49,33,29,54,51,47,62,61,36,73,62,73,57,34,67
"33","65220979d69c80f0f6af18b4",90,90,85,90,85,100,95,90,100,100,85,95,85,90,100,95,100,85,100,85,90,85,100,95,90,100,95,100,100,100,90,95,90,95,95,90,80,95,100,85,100,100,80,70,70,100,80,95,85,85,75,85,80,80,100,90,90,80,90,70,30,70,90,70,100,90,85,85,80,100,85,80,20,90,70,70,45,80,50,75,90,80,80,85,30,100,85,75,85,20,30,25,100,100,70,75,85,80,90,30,80,100,45,80,50,90,60,65,40,100,85,80,95,85,70,80,20,70,80,95,90,60,20,70,80,55,75,75,50,60,50,60,85,80,65,35,70,90,30,100,35,35,35,50,90,85,70,35,40,70
"34","6401fab47eb81e7326152d8e",70,80,85,80,100,100,100,100,65,100,80,100,85,80,50,67,50,75,90,65,85,75,90,50,60,50,45,90,80,100,70,85,90,75,80,100,85,80,95,60,70,100,90,75,80,90,90,90,65,85,80,95,80,85,80,90,100,80,75,90,75,85,90,80,90,90,70,95,80,85,75,65,70,70,65,65,90,60,60,55,100,55,75,80,75,70,85,85,80,90,65,75,90,85,70,70,85,80,95,80,85,85,80,85,90,87,80,90,80,95,90,85,85,70,80,80,90,90,75,80,70,80,85,90,75,85,95,80,80,90,75,60,90,85,60,95,80,85,70,90,80,95,85,80,95,90,90,90,70,95
"35","61108741d56b5a068a41a2ac",77,79,72,75,67,82,83,78,86,76,79,81,75,90,79,82,81,80,82,83,81,79,81,83,80,78,76,74,80,86,72,78,77,73,75,78,74,82,84,80,86,76,75,80,79,75,84,74,77,74,79,79,74,77,79,76,78,79,69,77,73,73,74,75,76,78,81,74,78,76,76,77,79,80,77,77,81,78,73,75,76,78,76,74,75,75,71,76,76,75,75,73,74,70,78,73,75,74,72,77,74,72,77,75,77,73,76,76,75,76,74,73,77,69,79,76,76,78,81,73,73,76,76,73,79,71,71,75,80,76,71,79,74,75,76,78,74,75,77,71,80,74,75,71,80,77,71,74,72,79
"36","63d996f37c5b1b3053f8251c",44,74,74,62,67,61,81,78,28,83,53,54,66,75,56,36,40,58,64,60,41,48,39,18,38,22,37,45,60,66,45,60,51,66,68,33,69,59,74,40,35,42,60,69,71,19,71,51,29,50,34,64,50,48,31,39,63,46,41,47,72,67,46,56,78,71,26,63,57,33,37,30,50,20,33,41,56,41,28,49,68,40,39,41,67,30,27,49,58,62,57,35,53,21,28,25,38,53,71,61,54,31,48,52,76,39,60,56,42,56,58,39,39,25,28,19,74,80,64,26,48,37,48,50,41,43,70,45,40,50,67,51,47,44,28,63,48,49,65,21,54,52,51,48,59,52,54,48,25,59
"37","6409f226765c80e737f20aca",65,0,7,88,45,0,57,44,0,82,53,17,24,31,56,0,0,21,29,80,23,89,71,0,27,0,60,55,0,91,22,34,0,45,0,1,64,38,28,31,0,26,58,0,68,0,0,31,0,90,54,94,54,92,0,82,20,69,9,60,51,0,11,0,16,40,19,70,38,0,27,12,71,0,19,9,94,12,19,78,41,0,0,51,26,11,70,3,19,75,37,41,24,0,16,12,59,27,26,52,31,0,78,27,88,26,83,30,47,38,11,31,35,6,69,0,48,83,20,11,22,32,75,70,38,100,55,22,0,84,39,39,24,65,26,68,7,23,45,0,86,100,42,69,17,4,76,27,0,37
"38","60fe287fe9273c5712dbd045",61,64,85,68,86,100,100,100,74,100,60,100,100,55,53,81,98,93,100,68,81,56,94,86,59,85,38,80,100,40,50,94,75,64,100,33,41,68,100,43,94,84,100,56,100,69,100,100,69,71,28,69,62,79,79,65,100,64,100,81,100,100,72,68,100,72,39,73,60,87,72,48,39,60,82,92,100,76,56,40,100,72,100,100,63,73,71,100,100,87,58,60,100,83,59,28,87,79,100,84,61,95,82,100,95,87,59,100,72,100,83,100,93,59,18,100,63,84,99,97,100,91,59,81,68,58,86,66,74,79,64,64,94,85,38,61,60,100,78,87,61,68,75,70,100,100,87,100,60,100
"39","63936bad01efa1e55f6e149d",70,60,88,77,64,67,75,79,69,85,67,70,68,71,65,63,76,67,80,72,63,64,66,63,67,64,66,63,62,64,75,70,70,65,77,65,60,72,74,58,62,71,64,67,77,71,68,62,61,67,60,77,69,67,66,60,70,69,66,67,53,80,63,67,71,70,66,66,63,65,64,66,56,68,63,66,64,67,59,69,65,66,71,71,75,62,56,67,70,64,60,59,85,59,59,65,53,65,67,62,57,65,68,63,78,60,61,60,61,67,68,63,65,58,56,66,58,77,72,61,65,56,60,64,60,78,82,61,72,67,77,67,64,70,71,83,60,77,61,73,77,75,63,68,74,71,72,67,68,74
"40","632f16551c905f94e05945bd",64,37,59,56,54,67,62,65,33,70,53,65,44,45,47,25,44,34,46,54,35,50,34,43,40,24,61,51,38,48,55,56,42,66,61,54,48,34,56,45,39,63,55,46,57,50,51,36,46,42,56,51,52,37,31,51,48,38,45,56,48,50,43,30,43,55,43,35,46,45,31,25,43,31,35,33,56,38,29,43,61,34,47,47,43,51,46,46,55,50,40,52,45,47,40,41,29,43,51,44,43,44,46,53,55,50,37,41,53,50,53,44,31,48,52,32,47,50,41,31,46,54,50,43,51,51,49,32,34,37,48,35,55,42,34,53,35,47,43,43,45,52,49,43,44,44,47,46,34,51
